Resume ID,Resume Summary,Skills,Years of Experience,Education,Certifications,Projects,Job Role
a9f1ec11-f007-47c9-bf20-3e80bb76c717,"Whatever good support record trade who. Usually gas shoulder role toward bit. Board view clearly off ground air. Experience in React, Responsive Design, MongoDB, JavaScript, Express. Worked on projects like E-commerce Frontend, Blog CMS.","React, Responsive Design, MongoDB, JavaScript, Express",3,MCA,"Oracle SQL Expert, Tableau Desktop Specialist","E-commerce Frontend, Blog CMS",Web Developer
d445b419-ecca-4ca8-bf29-851aa6d539d8,"Baby indeed radio will decade reflect include. Case claim front name everything would safe. Than personal tree growth think up. Experience in Python, Git, Data Structures, System Design, C++, SQL. Worked on projects like Library Management System.","Python, Git, Data Structures, System Design, C++, SQL",3,B.Sc Computer Science,Scrum Master,Library Management System,Software Engineer
696adc22-4e13-4684-8901-0dd38c3c9f0d,"Brother under some bit appear. Audience history question loss open son professor. Trial business whether interest trade direction. Than necessary four seven listen. Experience in SQL, C++, Python, Data Structures, Git, System Design, Java. Worked on projects like REST API Development, E-commerce Backend.","SQL, C++, Python, Data Structures, Git, System Design, Java",0,MCA,Scrum Master,"REST API Development, E-commerce Backend",Software Engineer
249675ce-2da5-48c8-a7cd-68c6497064db,"Serious street poor interest article. Experience in MongoDB, Responsive Design, HTML, Express, CSS, React, JavaScript. Worked on projects like Blog CMS.","MongoDB, Responsive Design, HTML, Express, CSS, React, JavaScript",8,MCA,Scrum Master,Blog CMS,Web Developer
ee6cf3e8-7755-4fc6-9051-0e93bf125c8e,"Fear account feeling mouth story the again. Arrive sell voice seven. Avoid myself magazine lose wind woman. May knowledge happen education paper. Experience in Responsive Design, Node.js, MongoDB, JavaScript, Express, React, CSS, HTML. Worked on projects like Portfolio Website, Blog CMS.","Responsive Design, Node.js, MongoDB, JavaScript, Express, React, CSS, HTML",3,B.Sc Computer Science,"DevOps Foundation, Certified Ethical Hacker, Microsoft Azure Fundamentals","Portfolio Website, Blog CMS",Web Developer
a60a5bd1-b6ac-4447-84a9-0866d804e794,"Phone build decision hotel. Way I worker mouth level career quality. Experience in Requirement Gathering, Power BI, UML, Tableau, SQL, Stakeholder Communication, Data Analysis, Excel. Worked on projects like Product Requirement Doc, Market Research Analysis.","Requirement Gathering, Power BI, UML, Tableau, SQL, Stakeholder Communication, Data Analysis, Excel",7,B.E. Information Technology,Tableau Desktop Specialist,"Product Requirement Doc, Market Research Analysis",Business Analyst
8d26b014-eb38-47b1-beb1-f1d5340798f1,"Win total either crime culture happen hard. Half oil piece. Experience in Data Structures, Python, Git, Algorithms, Java, SQL. Worked on projects like E-commerce Backend, REST API Development.","Data Structures, Python, Git, Algorithms, Java, SQL",3,B.Tech CSE,Oracle SQL Expert,"E-commerce Backend, REST API Development",Software Engineer
6e98ba6c-0275-4056-9375-e09b8e63e324,"Chance fish list nearly. Tax sport structure speech. Seat interest admit organization. Experience in Pandas, R, Python, Machine Learning, Statistics, SQL, Data Visualization. Worked on projects like Sales Forecasting.","Pandas, R, Python, Machine Learning, Statistics, SQL, Data Visualization",2,MCA,Google Data Analytics,Sales Forecasting,Data Scientist
e123a3b5-dc0e-40ad-be4a-a0ab27977c56,"Meeting couple half all despite. Team conference past class. Prepare arm that able size indeed from trial. Experience in Database Tuning, Security, MySQL, NoSQL, Oracle, Backup and Recovery, SQL. Worked on projects like Database Optimization.","Database Tuning, Security, MySQL, NoSQL, Oracle, Backup and Recovery, SQL",9,B.E. Information Technology,"React Certification, AWS Certified Solutions Architect",Database Optimization,Database Administrator
4f133541-e47e-4100-86ef-d5090f03fa31,"Result admit as. Party design sort paper religious. Experience in Algorithms, Python, C++, SQL, System Design, Git, Data Structures, Java. Worked on projects like REST API Development, E-commerce Backend.","Algorithms, Python, C++, SQL, System Design, Git, Data Structures, Java",8,M.Tech IT,"AWS Certified Solutions Architect, Google Data Analytics, Oracle SQL Expert","REST API Development, E-commerce Backend",Software Engineer
a8802837-4720-4fb4-bdc8-b94ed5984a90,"Old traditional road way seat opportunity. Easy admit recognize condition standard TV. Experience in NLP, PyTorch, Data Preprocessing, Machine Learning, Computer Vision, Python. Worked on projects like Object Detection System, Chatbot Development.","NLP, PyTorch, Data Preprocessing, Machine Learning, Computer Vision, Python",2,B.Sc Computer Science,"Oracle SQL Expert, DevOps Foundation, AWS Certified Solutions Architect","Object Detection System, Chatbot Development",AI/ML Engineer
2b68b705-e927-45d5-bc96-fec1dbaa7b91,"Feel spend crime for. Investment discussion significant level eat customer apply. Task friend very continue general play. Experience in PyTorch, Computer Vision, Python, Data Preprocessing, NLP, Deep Learning, Machine Learning, TensorFlow. Worked on projects like Chatbot Development.","PyTorch, Computer Vision, Python, Data Preprocessing, NLP, Deep Learning, Machine Learning, TensorFlow",9,B.E. Information Technology,Microsoft Azure Fundamentals,Chatbot Development,AI/ML Engineer
77c01f57-5a9d-4661-889a-b5b60b36a6c3,"Street its media similar parent question food. Experience in JavaScript, MongoDB, React, HTML, Express, Node.js, Responsive Design, CSS. Worked on projects like Blog CMS.","JavaScript, MongoDB, React, HTML, Express, Node.js, Responsive Design, CSS",4,B.E. Information Technology,"Oracle SQL Expert, AWS Certified Solutions Architect, Microsoft Azure Fundamentals",Blog CMS,Web Developer
9f412393-6501-4ca1-8a25-95101839cf8a,"Artist industry nor question. Art move pressure arm sell history. Experience in CI/CD, Terraform, Kubernetes, Ansible, Docker, Monitoring Tools, AWS. Worked on projects like CI/CD Pipeline Setup, Kubernetes Cluster Deployment.","CI/CD, Terraform, Kubernetes, Ansible, Docker, Monitoring Tools, AWS",5,B.Tech CSE,"AWS Certified Solutions Architect, React Certification","CI/CD Pipeline Setup, Kubernetes Cluster Deployment",DevOps Engineer
45d1e976-8edd-4301-b671-1d0c028608e1,"Across ten son mention worry. High analysis owner part. So majority side almost others left rate. Experience in Linux, AWS, Azure, Kubernetes, Terraform, Cloud Security. Worked on projects like Serverless Architecture.","Linux, AWS, Azure, Kubernetes, Terraform, Cloud Security",7,M.Tech IT,"Google Data Analytics, Scrum Master, Tableau Desktop Specialist",Serverless Architecture,Cloud Engineer
63f13962-a960-4ee0-aaf2-2c73bdcdbedc,"Perhaps how she. Experience in Docker, CI/CD, Kubernetes, Ansible, Terraform, AWS, Monitoring Tools, Linux. Worked on projects like Kubernetes Cluster Deployment.","Docker, CI/CD, Kubernetes, Ansible, Terraform, AWS, Monitoring Tools, Linux",7,MCA,Certified Ethical Hacker,Kubernetes Cluster Deployment,DevOps Engineer
ee8a56bb-dd55-48b3-a87b-ddab72cc5b2f,"Generation career view bad. Pull with because rise long poor bit. Experience in Node.js, Responsive Design, CSS, Express, MongoDB, React, JavaScript. Worked on projects like E-commerce Frontend, Portfolio Website.","Node.js, Responsive Design, CSS, Express, MongoDB, React, JavaScript",8,B.Sc Computer Science,Scrum Master,"E-commerce Frontend, Portfolio Website",Web Developer
512a077f-b2ad-4290-b403-d9b91fabff68,"Behavior order score purpose remain Republican. Cost forward east food less per. Eight work possible bed key. General series whose ready. Experience in Data Preprocessing, Machine Learning, TensorFlow, Python, PyTorch, NLP. Worked on projects like Image Classification.","Data Preprocessing, Machine Learning, TensorFlow, Python, PyTorch, NLP",1,B.E. Information Technology,"React Certification, TensorFlow Developer Certificate",Image Classification,AI/ML Engineer
fc0b0890-cec3-4687-8dbc-bb5b36b3d043,"Ten federal very police character soon sister. Soldier opportunity game improve. Sit common recognize. Experience in Cloud Security, Terraform, Google Cloud, AWS, Docker, Kubernetes, Azure, Linux. Worked on projects like Multi-cloud Deployment.","Cloud Security, Terraform, Google Cloud, AWS, Docker, Kubernetes, Azure, Linux",6,B.E. Information Technology,"React Certification, Certified Ethical Hacker, Oracle SQL Expert",Multi-cloud Deployment,Cloud Engineer
d1013685-4e29-4080-aa0a-efb408eb39a4,"Mr ago player research scientist value approach. Appear environmental long American. Experience in Git, C++, Java, SQL, Algorithms, Data Structures, Python, System Design. Worked on projects like REST API Development, E-commerce Backend.","Git, C++, Java, SQL, Algorithms, Data Structures, Python, System Design",3,M.Tech IT,"Microsoft Azure Fundamentals, Oracle SQL Expert","REST API Development, E-commerce Backend",Software Engineer
9e1d54e8-e206-4483-b443-03313185b1b6,"Want language begin subject response president. Poor effect special research school morning our never. Experience in NLP, Python, PyTorch, Machine Learning, Deep Learning, Computer Vision. Worked on projects like Object Detection System, Image Classification.","NLP, Python, PyTorch, Machine Learning, Deep Learning, Computer Vision",9,B.Tech CSE,"React Certification, Google Data Analytics, DevOps Foundation","Object Detection System, Image Classification",AI/ML Engineer
392f0113-80ee-4731-b546-89e47f089e50,"Attorney thing cell goal tax soon. Coach friend produce. Experience in SQL, R, Pandas, Scikit-learn, Statistics, Machine Learning, Data Visualization, Python. Worked on projects like Sentiment Analysis, Customer Segmentation.","SQL, R, Pandas, Scikit-learn, Statistics, Machine Learning, Data Visualization, Python",0,B.E. Information Technology,"React Certification, AWS Certified Solutions Architect, Tableau Desktop Specialist","Sentiment Analysis, Customer Segmentation",Data Scientist
922bc1e1-a129-48ee-8685-765786c4be9a,"Rock magazine buy expect. Material teach girl high institution boy. Could subject do. Experience in Stakeholder Communication, Excel, UML, Tableau, SQL, Power BI, Data Analysis, Requirement Gathering. Worked on projects like Product Requirement Doc.","Stakeholder Communication, Excel, UML, Tableau, SQL, Power BI, Data Analysis, Requirement Gathering",0,M.Tech IT,"Certified Ethical Hacker, Scrum Master",Product Requirement Doc,Business Analyst
03cd635b-b00d-46f2-9a73-fbc4a5868d1a,"Their walk maybe less office hand. Experience in NoSQL, Backup and Recovery, Oracle, Database Tuning, Security, Data Modeling. Worked on projects like Inventory DB Design.","NoSQL, Backup and Recovery, Oracle, Database Tuning, Security, Data Modeling",3,B.Tech CSE,"Scrum Master, Certified Ethical Hacker",Inventory DB Design,Database Administrator
eb9b0d85-7e26-49b6-adbc-1da165de2ec8,"Consider current mean model seek real. His too method figure moment low enough around. Sense west thank expert trouble me. Experience in SQL, R, Python, Scikit-learn, Statistics, Machine Learning. Worked on projects like Customer Segmentation, Sales Forecasting.","SQL, R, Python, Scikit-learn, Statistics, Machine Learning",7,M.Tech IT,Tableau Desktop Specialist,"Customer Segmentation, Sales Forecasting",Data Scientist
6c5df001-3808-49ac-878b-d375b3f8f3c1,"Call often sell say computer not. Discuss cultural water top. Let attorney open. Experience in Excel, UML, SQL, Stakeholder Communication, Tableau, Data Analysis. Worked on projects like Sales Dashboard.","Excel, UML, SQL, Stakeholder Communication, Tableau, Data Analysis",1,M.Tech IT,"TensorFlow Developer Certificate, Tableau Desktop Specialist",Sales Dashboard,Business Analyst
aa98fc29-b375-4e63-8d76-f33db5aa974c,"Forward entire allow culture job. Experience in Data Preprocessing, Python, TensorFlow, Machine Learning, Computer Vision, PyTorch. Worked on projects like Object Detection System.","Data Preprocessing, Python, TensorFlow, Machine Learning, Computer Vision, PyTorch",3,B.Tech CSE,"Certified Ethical Hacker, AWS Certified Solutions Architect",Object Detection System,AI/ML Engineer
016e9fc1-e8f0-4924-9ead-8476027132dc,"Hold tough blue success such. Article adult tell game left. Protect cultural happen two set him. Then free rise sea car wish allow. Experience in Java, Git, C++, SQL, Python, Algorithms, Data Structures, System Design. Worked on projects like E-commerce Backend.","Java, Git, C++, SQL, Python, Algorithms, Data Structures, System Design",2,B.E. Information Technology,"Google Data Analytics, Scrum Master",E-commerce Backend,Software Engineer
b6ddb7b5-4a9b-4669-8fa4-3be0d1b44750,"Possible technology city class goal. None many table take. Time should note loss. Experience in Pandas, Statistics, Scikit-learn, Python, R, SQL, Data Visualization, Machine Learning. Worked on projects like Customer Segmentation, Sales Forecasting.","Pandas, Statistics, Scikit-learn, Python, R, SQL, Data Visualization, Machine Learning",7,B.Sc Computer Science,"Scrum Master, TensorFlow Developer Certificate","Customer Segmentation, Sales Forecasting",Data Scientist
7d19d71e-348e-46fc-b662-650b35e15c8d,"Skill far my try agency describe. Sing analysis floor school investment sea fear. Experience in System Design, Data Structures, C++, Git, SQL, Java, Python. Worked on projects like Library Management System.","System Design, Data Structures, C++, Git, SQL, Java, Python",2,MCA,Oracle SQL Expert,Library Management System,Software Engineer
caa88563-2c3a-469f-80a9-90c6cb05fd95,"World would find partner sea add agree. Experience in AWS, Azure, Linux, Terraform, Cloud Security, Docker, Google Cloud, Kubernetes. Worked on projects like Serverless Architecture, Cloud Cost Optimization.","AWS, Azure, Linux, Terraform, Cloud Security, Docker, Google Cloud, Kubernetes",5,MCA,"Scrum Master, AWS Certified Solutions Architect, React Certification","Serverless Architecture, Cloud Cost Optimization",Cloud Engineer
4ac52242-b2d7-4117-b150-11774e74d0e7,"Explain thing section western. Stand box foreign organization compare prevent. Spring want simply lot player lose. Experience in Statistics, Machine Learning, SQL, Data Visualization, R. Worked on projects like Sales Forecasting, Customer Segmentation.","Statistics, Machine Learning, SQL, Data Visualization, R",9,B.Sc Computer Science,Scrum Master,"Sales Forecasting, Customer Segmentation",Data Scientist
26d17595-26b5-4ee9-b182-ee48d7b1dba5,"Staff Congress realize. Safe season lead test prove other. Experience in Security, Oracle, NoSQL, Backup and Recovery, MySQL, Data Modeling. Worked on projects like Data Backup System, Database Optimization.","Security, Oracle, NoSQL, Backup and Recovery, MySQL, Data Modeling",6,B.Tech CSE,"Google Data Analytics, TensorFlow Developer Certificate, React Certification","Data Backup System, Database Optimization",Database Administrator
b40a7f3b-495f-42ae-bb4b-ee3a3f513b72,"Huge media purpose issue bring house. Hit operation already establish fine. Experience in System Design, Java, C++, Git, Python, Data Structures. Worked on projects like REST API Development.","System Design, Java, C++, Git, Python, Data Structures",4,B.Tech CSE,DevOps Foundation,REST API Development,Software Engineer
6ebd84fa-55ea-4a91-8879-9b2c4eeb5ce4,"Yard life model instead. Capital food front. Candidate compare knowledge least Congress. Notice policy feeling again hear artist prepare they. Experience in Firewalls, Network Security, Penetration Testing, Python, SIEM, Incident Response. Worked on projects like Vulnerability Assessment.","Firewalls, Network Security, Penetration Testing, Python, SIEM, Incident Response",8,M.Tech IT,Certified Ethical Hacker,Vulnerability Assessment,Cybersecurity Analyst
6cdca3ae-1290-4e0a-961e-a016d9db407e,"Million more month enjoy kind. Better protect technology manage power law a. West discuss son indicate wide hundred. Experience in Linux, Cloud Security, Kubernetes, Azure, AWS. Worked on projects like Multi-cloud Deployment.","Linux, Cloud Security, Kubernetes, Azure, AWS",7,B.Tech CSE,"React Certification, AWS Certified Solutions Architect",Multi-cloud Deployment,Cloud Engineer
48db035c-a6b1-4c05-8492-fdd524cefca6,"Great have writer Congress. Item expert child son where movie. Quite operation floor allow each forget. Experience in Stakeholder Communication, UML, Requirement Gathering, Excel, Power BI, Data Analysis, Tableau, SQL. Worked on projects like Market Research Analysis, Product Requirement Doc.","Stakeholder Communication, UML, Requirement Gathering, Excel, Power BI, Data Analysis, Tableau, SQL",9,B.Sc Computer Science,Scrum Master,"Market Research Analysis, Product Requirement Doc",Business Analyst
e47206e3-cb2c-4c70-9a47-b9847596dc5b,"Pass prevent Mrs budget call stage partner. Coach win hair star direction spring trip. Experience in Terraform, Cloud Security, Linux, Azure, Google Cloud. Worked on projects like Multi-cloud Deployment, Serverless Architecture.","Terraform, Cloud Security, Linux, Azure, Google Cloud",5,B.E. Information Technology,"Tableau Desktop Specialist, Scrum Master, DevOps Foundation","Multi-cloud Deployment, Serverless Architecture",Cloud Engineer
7777a2be-9968-46dc-8e17-9a34f573467a,"White sea bring choose do operation huge. If test star might easy suddenly. Artist however upon chance. Experience in MongoDB, Express, React, CSS, JavaScript, Node.js, Responsive Design. Worked on projects like E-commerce Frontend.","MongoDB, Express, React, CSS, JavaScript, Node.js, Responsive Design",9,M.Tech IT,"React Certification, TensorFlow Developer Certificate, Scrum Master",E-commerce Frontend,Web Developer
92fcbc4f-fc30-473f-a8d0-de4a7c40a757,"Address weight far week yes perhaps necessary. Beautiful but cultural. Party create school face agency fish simply. Experience in Requirement Gathering, Stakeholder Communication, UML, Tableau, Data Analysis, Power BI, SQL. Worked on projects like Market Research Analysis, Product Requirement Doc.","Requirement Gathering, Stakeholder Communication, UML, Tableau, Data Analysis, Power BI, SQL",2,MCA,"Certified Ethical Hacker, Microsoft Azure Fundamentals","Market Research Analysis, Product Requirement Doc",Business Analyst
e1e38544-d76a-4772-a481-d6d48ac7a576,"Republican least TV where. Amount have once police develop successful teach. Notice history day. Experience in MySQL, NoSQL, Database Tuning, Data Modeling, Backup and Recovery, SQL. Worked on projects like Inventory DB Design.","MySQL, NoSQL, Database Tuning, Data Modeling, Backup and Recovery, SQL",10,M.Tech IT,"Google Data Analytics, AWS Certified Solutions Architect, Scrum Master",Inventory DB Design,Database Administrator
593776c6-8edc-487d-a4ca-00de282e1eb0,"Indeed image again fund challenge. Else couple growth concern. East lead career yes citizen agreement. Experience in Java, iOS, Kotlin, Android, Swift, Flutter, React Native. Worked on projects like Fitness Tracker, Chat Application.","Java, iOS, Kotlin, Android, Swift, Flutter, React Native",3,B.Sc Computer Science,"Tableau Desktop Specialist, Microsoft Azure Fundamentals, Google Data Analytics","Fitness Tracker, Chat Application",Mobile App Developer
d5812415-9a06-40e7-96f5-ab2b6c4aba88,"Fire past letter so speak among along. Determine give language official. How trade stand audience we choose than. Experience in Stakeholder Communication, SQL, Power BI, Tableau, Requirement Gathering. Worked on projects like Product Requirement Doc, Market Research Analysis.","Stakeholder Communication, SQL, Power BI, Tableau, Requirement Gathering",10,MCA,Certified Ethical Hacker,"Product Requirement Doc, Market Research Analysis",Business Analyst
4cf27911-89e2-4f04-bfb7-f7e288de4b96,"Discuss garden subject black phone American fish. Instead positive end look his quite. Face impact gas. Experience in Deep Learning, NLP, PyTorch, Python, Computer Vision, Data Preprocessing. Worked on projects like Chatbot Development.","Deep Learning, NLP, PyTorch, Python, Computer Vision, Data Preprocessing",5,MCA,React Certification,Chatbot Development,AI/ML Engineer
322e9ba4-1886-4a10-9f48-4c2b0f86ce30,"Attorney various on person measure plan. Fine whether very ball. Woman morning these include media foot. Experience in Data Modeling, NoSQL, Oracle, MySQL, Security, Backup and Recovery, SQL. Worked on projects like Database Optimization, Inventory DB Design.","Data Modeling, NoSQL, Oracle, MySQL, Security, Backup and Recovery, SQL",1,M.Tech IT,"React Certification, Oracle SQL Expert, DevOps Foundation","Database Optimization, Inventory DB Design",Database Administrator
c3ef76a0-ed00-472c-8865-d372f4aef2ab,"Together thousand five industry form Congress. Spend set sometimes information third eye memory. Experience in Penetration Testing, Incident Response, Cryptography, Python, Network Security, Risk Assessment, SIEM, Firewalls. Worked on projects like Vulnerability Assessment, Firewall Configuration.","Penetration Testing, Incident Response, Cryptography, Python, Network Security, Risk Assessment, SIEM, Firewalls",4,B.E. Information Technology,"AWS Certified Solutions Architect, Tableau Desktop Specialist","Vulnerability Assessment, Firewall Configuration",Cybersecurity Analyst
def5c3e8-2f64-4c99-9d97-7dd1891e9914,"Citizen rate order study television. Take garden seem lawyer world. Area financial center. Experience in Firewalls, Penetration Testing, Risk Assessment, SIEM, Incident Response, Network Security. Worked on projects like Firewall Configuration.","Firewalls, Penetration Testing, Risk Assessment, SIEM, Incident Response, Network Security",5,B.Sc Computer Science,"DevOps Foundation, React Certification, Microsoft Azure Fundamentals",Firewall Configuration,Cybersecurity Analyst
0adfac69-82f9-4ab8-a3c3-ab64e98498b8,"Situation section detail west behind research back. Ago meet deal idea test himself religious. Population strategy past water west occur. Experience in Cryptography, SIEM, Penetration Testing, Firewalls, Python, Incident Response, Network Security. Worked on projects like Firewall Configuration, Vulnerability Assessment.","Cryptography, SIEM, Penetration Testing, Firewalls, Python, Incident Response, Network Security",8,B.E. Information Technology,"Oracle SQL Expert, Scrum Master, Microsoft Azure Fundamentals","Firewall Configuration, Vulnerability Assessment",Cybersecurity Analyst
0ccd4457-a8ec-4fda-a4b5-04ecf143387d,"Boy tree across exist state kitchen buy major. Experience in TensorFlow, PyTorch, Data Preprocessing, Python, NLP, Computer Vision, Deep Learning. Worked on projects like Object Detection System, Chatbot Development.","TensorFlow, PyTorch, Data Preprocessing, Python, NLP, Computer Vision, Deep Learning",5,M.Tech IT,"Scrum Master, Google Data Analytics, Tableau Desktop Specialist","Object Detection System, Chatbot Development",AI/ML Engineer
8dbedb18-3233-4e70-915e-cc448d21ae93,"Every product notice same throw think anything kid. Street leg arm call dinner miss check. Experience in System Design, SQL, C++, Python, Java, Data Structures, Algorithms. Worked on projects like REST API Development, E-commerce Backend.","System Design, SQL, C++, Python, Java, Data Structures, Algorithms",2,B.E. Information Technology,"DevOps Foundation, AWS Certified Solutions Architect","REST API Development, E-commerce Backend",Software Engineer
5d18dbc2-3d39-4a2a-ac43-517211ce7a19,"Whether life civil. Hair fish student city sell between certainly. Experience in Monitoring Tools, Docker, Kubernetes, Ansible, Terraform, AWS. Worked on projects like Kubernetes Cluster Deployment, CI/CD Pipeline Setup.","Monitoring Tools, Docker, Kubernetes, Ansible, Terraform, AWS",2,M.Tech IT,Microsoft Azure Fundamentals,"Kubernetes Cluster Deployment, CI/CD Pipeline Setup",DevOps Engineer
85035853-185f-4295-a81b-09d9bc62ee25,"Apply within customer myself realize. Themselves help million just take. Reason record some catch. Experience in SQL, Stakeholder Communication, Power BI, Data Analysis, Excel. Worked on projects like Sales Dashboard, Product Requirement Doc.","SQL, Stakeholder Communication, Power BI, Data Analysis, Excel",8,B.Tech CSE,"DevOps Foundation, TensorFlow Developer Certificate","Sales Dashboard, Product Requirement Doc",Business Analyst
9da15095-fbac-4718-8801-6d9864b87f16,"Grow benefit back evidence run step citizen. Responsibility that not. Experience in React, Responsive Design, CSS, MongoDB, Node.js, HTML, Express. Worked on projects like E-commerce Frontend.","React, Responsive Design, CSS, MongoDB, Node.js, HTML, Express",5,M.Tech IT,"Oracle SQL Expert, Certified Ethical Hacker, Google Data Analytics",E-commerce Frontend,Web Developer
1f1d8235-4b47-4a53-a711-047da263b4ba,"Walk throughout art. Training card project catch week take task. Ever recently fight sound save various onto. Experience in Linux, Docker, Terraform, AWS, Cloud Security, Google Cloud. Worked on projects like Cloud Cost Optimization.","Linux, Docker, Terraform, AWS, Cloud Security, Google Cloud",3,B.Tech CSE,"Tableau Desktop Specialist, Google Data Analytics",Cloud Cost Optimization,Cloud Engineer
33d02386-a359-4581-bf42-e45f3f7f6e03,"Follow whole factor kitchen unit. To box treat result important matter. Phone party simply shoulder. Experience in SQL, Python, R, Pandas, Statistics, Scikit-learn, Machine Learning. Worked on projects like Customer Segmentation.","SQL, Python, R, Pandas, Statistics, Scikit-learn, Machine Learning",9,B.Sc Computer Science,"React Certification, TensorFlow Developer Certificate, AWS Certified Solutions Architect",Customer Segmentation,Data Scientist
39ae2903-c498-429e-b6d1-faf67590aceb,"Quality beautiful third fire part. True brother turn community member kid test. Experience in Java, Kotlin, Swift, Android, React Native. Worked on projects like Fitness Tracker.","Java, Kotlin, Swift, Android, React Native",10,B.Tech CSE,AWS Certified Solutions Architect,Fitness Tracker,Mobile App Developer
d63d90b6-7f4b-4a85-be12-15e02fb44721,"Near side beat then hear born near. Although ok personal our nor its any. Experience in Python, Machine Learning, Deep Learning, Computer Vision, TensorFlow, Data Preprocessing. Worked on projects like Chatbot Development, Image Classification.","Python, Machine Learning, Deep Learning, Computer Vision, TensorFlow, Data Preprocessing",6,M.Tech IT,"Tableau Desktop Specialist, Oracle SQL Expert","Chatbot Development, Image Classification",AI/ML Engineer
6d86d23d-955d-48cc-816f-5e7646d55341,"Score southern something trouble. Western quite although health their. Something our middle again. Letter whatever professional rate set day. Experience in Statistics, Scikit-learn, Python, Machine Learning, Data Visualization, SQL. Worked on projects like Sentiment Analysis.","Statistics, Scikit-learn, Python, Machine Learning, Data Visualization, SQL",6,M.Tech IT,Microsoft Azure Fundamentals,Sentiment Analysis,Data Scientist
db022898-8ce2-4649-9fa9-e57073d2c774,"Quite easy staff chance. Civil eight keep well employee good. Those cup although year early bar some plant. Experience in Statistics, Machine Learning, SQL, Pandas, R, Data Visualization, Python, Scikit-learn. Worked on projects like Sentiment Analysis, Sales Forecasting.","Statistics, Machine Learning, SQL, Pandas, R, Data Visualization, Python, Scikit-learn",1,B.Sc Computer Science,"Tableau Desktop Specialist, React Certification, DevOps Foundation","Sentiment Analysis, Sales Forecasting",Data Scientist
b8565611-315b-4ee6-8a07-73de7dcaa75c,"Tonight article audience purpose activity suffer face. Can its your key. Experience in Kubernetes, Monitoring Tools, Linux, Terraform, Docker, CI/CD, AWS. Worked on projects like CI/CD Pipeline Setup.","Kubernetes, Monitoring Tools, Linux, Terraform, Docker, CI/CD, AWS",9,MCA,"DevOps Foundation, Google Data Analytics, React Certification",CI/CD Pipeline Setup,DevOps Engineer
b937a86d-d24c-4b78-a167-06ee090300f1,"Pass southern happy laugh instead. Son become behind she describe nation. Experience in Network Security, Penetration Testing, Cryptography, Python, Incident Response, Firewalls, SIEM. Worked on projects like Firewall Configuration, Vulnerability Assessment.","Network Security, Penetration Testing, Cryptography, Python, Incident Response, Firewalls, SIEM",1,MCA,"React Certification, Oracle SQL Expert, Scrum Master","Firewall Configuration, Vulnerability Assessment",Cybersecurity Analyst
f90545a5-656c-4870-a849-a8a5620b95ff,"Person environment forget PM benefit job. Defense so one question peace. Those some wrong hard. Experience in Deep Learning, Python, Computer Vision, Data Preprocessing, NLP, TensorFlow, Machine Learning. Worked on projects like Image Classification.","Deep Learning, Python, Computer Vision, Data Preprocessing, NLP, TensorFlow, Machine Learning",1,B.E. Information Technology,React Certification,Image Classification,AI/ML Engineer
f96f0aa8-29be-4604-b041-525524219312,"Have wall anyone author product piece against. Republican knowledge address politics less detail many live. Night contain player establish. Experience in Algorithms, Python, System Design, SQL, C++, Data Structures. Worked on projects like REST API Development, Library Management System.","Algorithms, Python, System Design, SQL, C++, Data Structures",5,B.Sc Computer Science,"DevOps Foundation, Tableau Desktop Specialist","REST API Development, Library Management System",Software Engineer
8d0d6c4b-01e1-43b9-84e0-793be4f87791,"His stand production yes cause. Respond nor include garden. Capital question somebody international paper amount. However one unit agreement weight. Experience in UML, Power BI, Stakeholder Communication, Tableau, SQL, Excel, Data Analysis. Worked on projects like Product Requirement Doc, Market Research Analysis.","UML, Power BI, Stakeholder Communication, Tableau, SQL, Excel, Data Analysis",9,B.E. Information Technology,Certified Ethical Hacker,"Product Requirement Doc, Market Research Analysis",Business Analyst
495c7d15-2ba0-426a-aeb1-dc3ac2d5df0f,"Piece keep expect wish somebody hundred away. Economic picture live society explain might feel. Tree side interesting. Experience in Azure, Google Cloud, Linux, Kubernetes, Cloud Security. Worked on projects like Cloud Cost Optimization, Multi-cloud Deployment.","Azure, Google Cloud, Linux, Kubernetes, Cloud Security",9,M.Tech IT,Tableau Desktop Specialist,"Cloud Cost Optimization, Multi-cloud Deployment",Cloud Engineer
136fa612-e6ac-41f5-b7fe-4cfc5c5b78bb,"Whether sell scientist garden stage. Experience in Data Preprocessing, PyTorch, NLP, Computer Vision, TensorFlow, Python. Worked on projects like Object Detection System.","Data Preprocessing, PyTorch, NLP, Computer Vision, TensorFlow, Python",10,B.Sc Computer Science,"Microsoft Azure Fundamentals, Scrum Master, Certified Ethical Hacker",Object Detection System,AI/ML Engineer
72e952a9-63df-4f7e-a8c5-90558a1baef2,"My system those sure. Explain guess trial. Experience in MongoDB, React, Express, Node.js, CSS, JavaScript, Responsive Design. Worked on projects like Blog CMS, Portfolio Website.","MongoDB, React, Express, Node.js, CSS, JavaScript, Responsive Design",1,M.Tech IT,"Microsoft Azure Fundamentals, AWS Certified Solutions Architect, Scrum Master","Blog CMS, Portfolio Website",Web Developer
